parent_tree,parent_text,parent_type,left_tree,left_text,left_type,right_tree,right_text,right_type,cc_tree,cc_text,base_text,parent_funnel,left_funnel,right_funnel,same_type,same_funnel,clausal_coord,corrective,left_sent,base_sent,right_sent
"(PP
  (PP
    (IN for)
    (NP (NP (DT the) (NN appearance)) (PP (IN of) (NP (NN concern)))))
  (CC and)
  (PP
    (IN for)
    (NP
      (NP (DT the) (NN escape))
      (SBAR (S (NP (PRP it)) (VP (VBD afforded) (NP (PRP him))))))))",for the appearance of concern and for the escape it afforded him,PP,"(PP
  (IN for)
  (NP (NP (DT the) (NN appearance)) (PP (IN of) (NP (NN concern)))))",for the appearance of concern,PP,"(PP
  (IN for)
  (NP
    (NP (DT the) (NN escape))
    (SBAR (S (NP (PRP it)) (VP (VBD afforded) (NP (PRP him)))))))",for the escape it afforded him,PP,(CC and),and,he did it selfishly for the appearance of concern and for the escape it afforded him,X,X,X,True,True,False,False,-0.5326921343803406,0.5949908494949341,0.9240391850471497
"(VP
  (VP (VBD evoked) (NP (JJ white) (NN guilt)))
  (CC and)
  (VP
    (VBD made)
    (S
      (NP (PRP it))
      (NP
        (NP (DT a) (NN force))
        (PP (IN in) (NP (JJ american) (NNS institutions))))))
  (PP
    (ADVP (RB very) (RB much))
    (IN in)
    (NP
      (NP (DT the) (JJ same) (NN way))
      (SBAR
        (IN as)
        (S
          (NP (PRP$ my) (NN friend))
          (VP
            (VBD brought)
            (NP (PRP it))
            (PP (IN to) (NP (NN life)))
            (PP (IN in) (NP (DT the) (NN businessman)))))))))",evoked white guilt and made it a force in american institutions very much in the same way as my friend brought it to life in the businessman,VP,(VP (VBD evoked) (NP (JJ white) (NN guilt))),evoked white guilt,VP,"(VP
  (VBD made)
  (S
    (NP (PRP it))
    (NP
      (NP (DT a) (NN force))
      (PP (IN in) (NP (JJ american) (NNS institutions))))))",made it a force in american institutions,VP,(CC and),and,black power evoked white guilt and made it a force in american institutions very much in the same way as my friend brought it to life in the businessman,X,X,X,True,True,False,False,-0.9745974540710449,0.996663510799408,0.998874843120575
"(NP
  (NP
    (NP (DT a) (JJ profound) (NN anger))
    (PP
      (IN at)
      (SBAR
        (WHNP (WP what))
        (S
          (VP
            (VBD was)
            (VP (VBN done) (PP (IN to) (NP (NNS blacks)))))))))
  (CC and)
  (NP
    (DT an)
    (ADJP (RB equally) (JJ profound))
    (NN feeling)
    (SBAR
      (IN that)
      (S
        (NP (EX there))
        (VP (MD should) (VP (VB be) (NP (NNS reparations))))))))",a profound anger at what was done to blacks and an equally profound feeling that there should be reparations,NP,"(NP
  (NP (DT a) (JJ profound) (NN anger))
  (PP
    (IN at)
    (SBAR
      (WHNP (WP what))
      (S
        (VP (VBD was) (VP (VBN done) (PP (IN to) (NP (NNS blacks)))))))))",a profound anger at what was done to blacks,NP,"(NP
  (DT an)
  (ADJP (RB equally) (JJ profound))
  (NN feeling)
  (SBAR
    (IN that)
    (S
      (NP (EX there))
      (VP (MD should) (VP (VB be) (NP (NNS reparations)))))))",an equally profound feeling that there should be reparations,NP,(CC and),and,always at the heart of black power in whatever form has been a profound anger at what was done to blacks and an equally profound feeling that there should be reparations,X,X,X,True,True,False,False,-0.77700275182724,0.9918195009231567,0.7693048715591431
"(NP
  (NP (NN senator) (JJ hubert) (NNP humphrey))
  (CC and)
  (NP (NNS others)))",senator hubert humphrey and others,NP,(NP (NN senator) (JJ hubert) (NNP humphrey)),senator hubert humphrey,NP,(NP (NNS others)),others,NP,(CC and),and,in 1964 one of the assurances senator hubert humphrey and others had to give congress to get the landmark civil rights bill passed was that the bill would not in any way require employers to use racial preferences to rectify racial imbalances,X,X,X,True,True,False,False,0.9924712181091309,-0.8259318470954895,0.9633515477180481
"(S
  (S
    (NP (NNS blacks))
    (ADVP (RB then))
    (VP
      (VBP become)
      (NP
        (NP (DT a) (NN means))
        (PP (IN to) (NP (DT this) (NN redemption))))))
  (CC and)
  (S
    (PP (IN as) (ADJP (JJ such)))
    (NP (PRP they))
    (VP
      (MD must)
      (VP
        (VB be)
        (VP
          (VBN seen)
          (PP
            (IN as)
            (ADJP
              (ADJP (RB generally) (JJR less))
              (PP (IN than) (NP (NNS others))))))))))",blacks then become a means to this redemption and as such they must be seen as generally less than others,S,"(S
  (NP (NNS blacks))
  (ADVP (RB then))
  (VP
    (VBP become)
    (NP
      (NP (DT a) (NN means))
      (PP (IN to) (NP (DT this) (NN redemption))))))",blacks then become a means to this redemption,S,"(S
  (PP (IN as) (ADJP (JJ such)))
  (NP (PRP they))
  (VP
    (MD must)
    (VP
      (VB be)
      (VP
        (VBN seen)
        (PP
          (IN as)
          (ADJP
            (ADJP (RB generally) (JJR less))
            (PP (IN than) (NP (NNS others)))))))))",as such they must be seen as generally less than others,S,(CC and),and,blacks then become a means to this redemption and as such they must be seen as generally less than others,S,S,S,True,True,True,False,0.6369844079017639,0.8669865131378174,-0.9984546899795532
"(VP
  (VP (MD can) (VP (VB negotiate) (NP (NNS entitlements))))
  (CC but)
  (ADVP (RB never))
  (ADVP (RB fully))
  (VP
    (VB see)
    (PP
      (IN as)
      (NP (NP (NNS people)) (PP (IN like) (NP (PRP themselves)))))))",can negotiate entitlements but never fully see as people like themselves,VP,(VP (MD can) (VP (VB negotiate) (NP (NNS entitlements)))),can negotiate entitlements,VP,(ADVP (RB never)),never,ADVP,(CC but),but,they are seen exclusively along the dimension of their victimization so that they become different people with whom whites can negotiate entitlements but never fully see as people like themselves,X,X,X,False,True,False,False,0.9569310545921326,-0.993051290512085,-0.9581319093704224
"(S
  (S
    (NP (DT this))
    (ADVP (RB of) (RB course))
    (VP (VBZ is) (RB not) (NP (NN racism))))
  (CC and)
  (ADVP (RB yet))
  (S
    (NP (PRP it))
    (VP
      (VBZ has)
      (NP
        (NP (DT the) (JJ same) (NN effect))
        (PP (IN as) (NP (NN racism))))
      (SBAR
        (IN since)
        (S
          (NP (PRP it))
          (VP
            (VBZ makes)
            (S
              (NP (NNS blacks))
              (NP
                (NP (NN something))
                (PP
                  (IN of)
                  (NP
                    (NP (DT a) (JJ separate) (NN species))
                    (SBAR
                      (WHPP (IN for) (WHNP (WP whom)))
                      (S
                        (NP
                          (JJ normal)
                          (NNS standards)
                          (CC and)
                          (NNS values))
                        (VP
                          (VBP do)
                          (RB not)
                          (ADVP (RB automatically))
                          (VP (VBP apply)))))))))))))))",this of course is not racism and yet it has the same effect as racism since it makes blacks something of a separate species for whom normal standards and values do not automatically apply,S,"(S
  (NP (DT this))
  (ADVP (RB of) (RB course))
  (VP (VBZ is) (RB not) (NP (NN racism))))",this of course is not racism,S,(ADVP (RB yet)),yet,ADVP,(CC and),and,this of course is not racism and yet it has the same effect as racism since it makes blacks something of a separate species for whom normal standards and values do not automatically apply,S,S,X,False,False,False,False,0.9946866035461426,-0.715264618396759,0.6517378687858582
(NP (JJ normal) (NNS standards) (CC and) (NNS values)),normal standards and values,NP,(NNS standards),standards,NNS,(NNS values),values,NNS,(CC and),and,this of course is not racism and yet it has the same effect as racism since it makes blacks something of a separate species for whom normal standards and values do not automatically apply,X,N,N,True,True,False,False,0.9925600290298462,-0.715264618396759,0.9990741014480591
"(VP
  (VP
    (VP
      (VBP have)
      (NP
        (NP
          (DT the)
          (JJS lowest)
          (NML (NN grade) (NN point))
          (NN average))
        (PP
          (IN of)
          (NP
            (NP (DT any) (JJ racial) (NN group))
            (PP
              (IN in)
              (NP
                (JJ american)
                (NNS universities)
                (NNS administrators)))))))
    (ADVP (RB never))
    (VP (VBP sit) (PRT (RP down)) (PP (IN with) (NP (PRP them)))))
  (CC and)
  (VP
    (VBP demand)
    (PP (IN in) (NP (NN kind)))
    (SBAR
      (IN that)
      (S
        (NP (JJ black) (NNS students))
        (VP
          (VB bring)
          (NP (PRP$ their) (NNS grades))
          (PP (RB up) (PP (IN to) (NP (NN par)))))))))",have the lowest grade point average of any racial group in american universities administrators never sit down with them and demand in kind that black students bring their grades up to par,VP,"(VP
  (VP
    (VBP have)
    (NP
      (NP
        (DT the)
        (JJS lowest)
        (NML (NN grade) (NN point))
        (NN average))
      (PP
        (IN of)
        (NP
          (NP (DT any) (JJ racial) (NN group))
          (PP
            (IN in)
            (NP
              (JJ american)
              (NNS universities)
              (NNS administrators)))))))
  (ADVP (RB never))
  (VP (VBP sit) (PRT (RP down)) (PP (IN with) (NP (PRP them)))))",have the lowest grade point average of any racial group in american universities administrators never sit down with them,VP,"(VP
  (VBP demand)
  (PP (IN in) (NP (NN kind)))
  (SBAR
    (IN that)
    (S
      (NP (JJ black) (NNS students))
      (VP
        (VB bring)
        (NP (PRP$ their) (NNS grades))
        (PP (RB up) (PP (IN to) (NP (NN par))))))))",demand in kind that black students bring their grades up to par,VP,(CC and),and,though blacks have the lowest grade point average of any racial group in american universities administrators never sit down with them and demand in kind that black students bring their grades up to par,X,X,X,True,True,False,False,-0.9951311349868774,0.9673987627029419,0.9928147792816162
"(VP
  (VP (VB discourage) (NP (JJ racial) (NN separatism)))
  (CC and)
  (VP
    (VB encourage)
    (NP
      (NP (JJR higher) (JJ academic) (NN performance))
      (PP (IN for) (NP (JJ black) (NNS students))))))",discourage racial separatism and encourage higher academic performance for black students,VP,(VP (VB discourage) (NP (JJ racial) (NN separatism))),discourage racial separatism,VP,"(VP
  (VB encourage)
  (NP
    (NP (JJR higher) (JJ academic) (NN performance))
    (PP (IN for) (NP (JJ black) (NNS students)))))",encourage higher academic performance for black students,VP,(CC and),and,it also cuts administrators off from their own values which would most certainly discourage racial separatism and encourage higher academic performance for black students,X,X,X,True,True,False,False,0.7410022616386414,-0.7239632606506348,0.9909974336624146
"(VP
  (VP
    (VBG giving)
    (NP (JJ black) (NNS students))
    (NP (DT a) (JJ separate) (NN lounge)))
  (CC and)
  (VP
    (VBG leaving)
    (NP (CD twenty) (NNS dollars))
    (PP (IN in) (NP (DT the) (NN tip) (NN plate)))
    (PP
      (IN on)
      (NP
        (NP (DT the) (NN way))
        (PP (IN out) (NP (DT the) (NN door)))))))",giving black students a separate lounge and leaving twenty dollars in the tip plate on the way out the door,VP,"(VP
  (VBG giving)
  (NP (JJ black) (NNS students))
  (NP (DT a) (JJ separate) (NN lounge)))",giving black students a separate lounge,VP,"(VP
  (VBG leaving)
  (NP (CD twenty) (NNS dollars))
  (PP (IN in) (NP (DT the) (NN tip) (NN plate)))
  (PP
    (IN on)
    (NP (NP (DT the) (NN way)) (PP (IN out) (NP (DT the) (NN door))))))",leaving twenty dollars in the tip plate on the way out the door,VP,(CC and),and,there is no difference between giving black students a separate lounge and leaving twenty dollars in the tip plate on the way out the door,X,X,X,True,True,False,False,0.9936316609382629,-0.9960440397262573,-0.9948084950447083
